#
# TLE_GNSS_SATNO.txt
# 
# satellite catalog number and international designator for GNSS
#
# TLE full catalog can be downloaded at Space-Track:
#
#     https://www.space-track.org
#
# history: 2012/11/27  1.0  new
#          2012/12/15  1.1  add GSAT10/GAGAN (PRN128)
#          2012/12/25  1.2  switch R08 satellite from 712 to 743
#          2013/01/06  1.3  switch R08 satellite from 743 to 701
#          2013/01/06  1.3  switch R08 satellite from 743 to 701
#          2013/02/23  1.4  switch R08 satellite from 701 to 743
#          2014/04/09  1.5  switch G27,G30,R02
#          2014/06/10  1.5  switch G06, decommission G09
#          2014/08/04  1.6  switch G09,R18,R21
#          2014/11/08  1.7  switch G03, decommission G08
#          2015/03/20  1.8  add E18,E14 as Galileo FOC-1,2
#          2016/01/19  1.9  switch G26,G08,G10
#                           add E26,E22,E24,E30 as Galileo FOC3,FOC4,FOC5,FOC6
#                           add SES-5,LUCH 5V,GSAT-15
#          2016/02/07  1.10 decomission G04 as GPS BIIA-23
#                           switch G32 from GPS BIIA-10 to BIIF-12
#                           add E08,E09 as Galileo FOC8,9
#          2016/05/25  1.11 switch R09,R16,R17
#          2018/06/16  1.12 Galileo and BeiDou updated
#          2018/08/09  1.13 add E25,E26,E23,E24
#          2018/10/10  1.14 add C26,C25,C32,C33
#                           BeiDou updated by IGS MGEX info
#          2018/12/27  1.15 update GPS,GLONASS,Galileo,QZSS,BeiDou,SBAS
#          2019/05/10  1.16 update BeiDou
#          2019/08/19  1.17 update R12,BeiDou
#          2020/07/30  1.18 update G04,G14,G18,G23,R04,R10,R24,E14,E18,E20,C01,
#                           C18,C31,C34,C35,C57,C58,129,137
#                           add C39,C40,C41,C42,C43,C44,C45,C46,C60,I02,I03,I04,
#                           I05,I06,I07,I09
#          2020/12/05  1.19 update Rxx, Gxx and each status
#

#SV  NORAD   ID      # SATELLITE NO/ID                  LAUNCH     STATUS
#                                                                (2020/12)

### NAVSTAR GPS

#G04 10684U  78020A  # GPS I-01    (SVN 01, NAVSTAR 01) 1978/02/22  --
#G00 10893U  78047A  # GPS I-02    (SVN 02, NAVSTAR 02) 1978/05/13  --
#G07 11054U  78093A  # GPS I-03    (SVN 03, NAVSTAR 03) 1978/10/07  --
#G00 11141U  78112A  # GPS I-04    (SVN 04, NAVSTAR 04) 1978/12/11  --
#G00 11690U  80011A  # GPS I-05    (SVN 05, NAVSTAR 05) 1980/02/09  --
#G09 11783U  80032A  # GPS I-06    (SVN 06, NAVSTAR 06) 1980/04/26  --
#G00 14189U  83072A  # GPS I-08    (SVN 08, NAVSTAR 08) 1983/07/14  --
#G00 15039U  84059A  # GPS I-09    (SVN 09, NAVSTAR 09) 1984/06/13  --
#G00 15271U  84097A  # GPS I-10    (SVN 10, NAVSTAR 10) 1984/09/08  --
#G03 16129U  85093A  # GPS I-11    (SVN 11, NAVSTAR 11) 1985/10/09  --
#G14 19802U  89013A  # GPS II-01   (SVN 14, NAVSTAR 13) 1989/02/14  --
#G02 20061U  89044A  # GPS II-02   (SVN 13, NAVSTAR 14) 1989/06/10  --
#G00 20185U  89064A  # GPS II-03   (SVN 16, NAVSTAR 15) 1989/08/18  --
#G19 20302U  89085A  # GPS II-04   (SVN 19, NAVSTAR 16) 1989/10/21  --
#G17 20361U  89097A  # GPS II-05   (SVN 17, NAVSTAR 17) 1989/12/11  --
#G00 20452U  90008A  # GPS II-06   (SVN 18, NAVSTAR 18) 1990/01/24  --
#G00 20533U  90025A  # GPS II-07   (SVN 20, NAVSTAR 19) 1990/03/26  --
#G21 20724U  90068A  # GPS II-08   (SVN 21, NAVSTAR 20) 1990/08/02  --
#G15 20830U  90088A  # GPS II-09   (SVN 15, NAVSTAR 21) 1990/10/01  --
#G32 20959U  90103A  # GPS IIA-01  (SVN 23, NAVSTAR 22) 1990/11/26  --
#G00 21552U  91047A  # GPS IIA-02  (SVN 24, NAVSTAR 23) 1991/07/04  --
#G00 21890U  92009A  # GPS IIA-03  (SVN 25, NAVSTAR 24) 1992/02/23  --
#G28 21930U  92019A  # GPS IIA-04  (SVN 28, NAVSTAR 25) 1992/04/10  --
#G26 22014U  92039A  # GPS IIA-05  (SVN 26, NAVSTAR 26) 1992/07/07  --
#G27 22108U  92058A  # GPS IIA-06  (SVN 27, NAVSTAR 27) 1992/09/09  --
#G24 22231U  92079A  # GPS IIA-07  (SVN 32, NAVSTAR 28) 1992/11/22  --
#G29 22275U  92089A  # GPS IIA-08  (SVN 29, NAVSTAR 29) 1992/12/18  --
#G22 22446U  93007A  # GPS IIA-09  (SVN 22, NAVSTAR 30) 1993/02/03  --
#G00 22581U  93017A  # GPS IIA-10  (SVN 31, NAVSTAR 31) 1993/03/30  --
#G01 22657U  93032A  # GPS IIA-11  (SVN 37, NAVSTAR 32) 1993/05/13  --
#G09 22700U  93042A  # GPS IIA-12  (SVN 39, NAVSTAR 33) 1993/06/26  --
#G30 22779U  93054A  # GPS IIA-13  (SVN 35, NAVSTAR 34) 1993/08/30  --
#G04 22877U  93068A  # GPS IIA-14  (SVN 34, NAVSTAR 35) 1993/10/26  --
#G18 22877U  93068A  # GPS IIA-14  (SVN 34, NAVSTAR 35) 1993/10/26  --
#G06 23027U  94016A  # GPS IIA-15  (SVN 36, NAVSTAR 36) 1994/03/10  --
#G03 23833U  96019A  # GPS IIA-16  (SVN 33, NAVSTAR 37) 1996/03/28  --
#G10 23953U  96041A  # GPS IIA-17  (SVN 40, NAVSTAR 38) 1996/07/16  --
#G30 24320U  96056A  # GPS IIA-18  (SVN 30, NAVSTAR 39) 1996/09/12  --
G13  24876U  97035A  # GPS IIR-02  (SVN 43, NAVSTAR 43) 1997/07/23  OK
#G08 25030U  97067A  # GPS IIA-19  (SVN 38, NAVSTAR 44) 1997/11/06  --
#G11 25933U  99055A  # GPS IIR-03  (SVN 46, NAVSTAR 46) 1999/10/07  --
G20  26360U  00025A  # GPS IIR-04  (SVN 51, NAVSTAR 47) 2000/05/11  OK
G28  26407U  00040A  # GPS IIR-05  (SVN 44, NAVSTAR 48) 2000/07/16  OK
#G14 26605U  00071A  # GPS IIR-06  (SVN 41, NAVSTAR 49) 2000/11/10  --
#G18 26690U  01004A  # GPS IIR-07  (SVN 54, NAVSTAR 50) 2001/01/30  --
G16  27663U  03005A  # GPS IIR-08  (SVN 56, NAVSTAR 51) 2003/01/29  OK
G21  27704U  03010A  # GPS IIR-09  (SVN 45, NAVSTAR 52) 2003/03/31  OK
G22  28129U  03058A  # GPS IIR-10  (SVN 47, NAVSTAR 53) 2003/12/21  OK
G19  28190U  04009A  # GPS IIR-11  (SVN 59, NAVSTAR 54) 2004/03/20  OK
#G23 28361U  04023A  # GPS IIR-12  (SVN 60, NAVSTAR 55) 2004/06/23  --
G02  28474U  04045A  # GPS IIR-13  (SVN 61, NAVSTAR 56) 2004/11/06  OK
G17  28874U  05038A  # GPS IIRM-01 (SVN 53, NAVSTAR 57) 2004/09/26  OK
G31  29486U  06042A  # GPS IIRM-02 (SVN 52, NAVSTAR 58) 2006/09/25  OK
G12  29601U  06052A  # GPS IIRM-03 (SVN 58, NAVSTAR 59) 2006/11/17  OK
G15  32260U  07047A  # GPS IIRM-04 (SVN 55, NAVSTAR 60) 2007/10/17  OK
G29  32384U  07062A  # GPS IIRM-05 (SVN 57, NAVSTAR 61) 2007/12/20  OK
G07  32711U  08012A  # GPS IIRM-06 (SVN 48, NAVSTAR 62) 2008/03/15  OK
#G01 34661U  09014A  # GPS IIRM-07 (SVN 49, NAVSTAR 63) 2009/03/24  --
G05  35752U  09043A  # GPS IIRM-08 (SVN 50, NAVSTAR 64) 2009/08/17  OK
G25  36585U  10022A  # GPS IIF-01  (SVN 62, NAVSTAR 65) 2010/05/28  OK
G01  37753U  11036A  # GPS IIF-02  (SVN 63, NAVSTAR 66) 2011/07/16  OK
G24  38833U  12053A  # GPS IIF-03  (SVN 65, NAVSTAR 67) 2012/10/04  OK
G27  39166U  13023A  # GPS IIF-04  (SVN 66, NAVSTAR 68) 2013/05/15  --
G30  39533U  14008A  # GPS IIF-05  (SVN 64, NAVSTAR 69) 2014/02/21  OK
G06  39741U  14026A  # GPS IIF-06  (SVN 67, NAVSTAR 70) 2014/05/17  OK
G09  40105U  14045A  # GPS IIF-07  (SVN 68, NAVSTAR 71) 2014/08/01  OK
G03  40294U  14068A  # GPS IIF-08  (SVN 69, NAVSTAR 72) 2014/10/29  OK
G26  40534U  15013A  # GPS IIF-09  (SVN 71, NAVSTAR 73) 2015/03/25  OK
G08  40730U  15033A  # GPS IIF-10  (SVN 72, NAVSTAR 74) 2015/07/15  OK
G10  41019U  15062A  # GPS IIF-11  (SVN 73, NAVSTAR 75) 2015/10/30  OK
G32  41328U  16007A  # GPS IIF-12  (SVN 70, NAVSTAR 76) 2016/02/04  OK
G04  43873U  18109A  # GPS III-01  (SVN 74, NAVSTAR 77) 2018/12/24  OK
G18  44506U  19056A  # GPS III-02  (SVN 75, NAVSTAR 78) 2019/08/22  OK
G23  45854U  20041A  # GPS III-03  (SVN 76, NAVSTAR 79) 2020/06/30  OK
G14  46826U  20078A  # GPS III-04  (SVN 77, NAVSTAR 80) 2020/11/05  OK

### GLONASS

#R08 28509U  04053B  # GLONASS-M (712, COSMOS 2413)     2004/12/26  --
#R17 28915U  05050A  # GLONASS-M (714, COSMOS 2419)     2005/12/25  --
#R15 29670U  06062A  # GLONASS-M (716, COSMOS 2425)     2006/12/25  SPARE
#R10 29671U  06062B  # GLONASS-M (717, COSMOS 2426)     2006/12/25  --
#R14 29672U  06062C  # GLONASS-M (715, COSMOS 2424)     2006/12/25  --
R19  32275U  07052A  # GLONASS-M (720, COSMOS 2433)     2007/10/26  OK
R20  32276U  07052B  # GLONASS-M (719, COSMOS 2432)     2007/10/26  OK
R13  32393U  07065A  # GLONASS-M (721, COSMOS 2434)     2007/12/25  OK
#R14 32394U  07065B  # GLONASS-M (722, COSMOS 2435)     2007/12/25  --
#R11 32395U  07065C  # GLONASS-M (723, COSMOS 2436)     2007/12/25  --
R10  32395U  07065C  # GLONASS-M (723, COSMOS 2436)     2007/12/25  OK
#R12 32395U  07065C  # GLONASS-M (723, COSMOS 2436)     2007/12/25  OK
#R18 33378U  08046A  # GLONASS-M (724, COSMOS 2442)     2008/09/25  --
#R21 33379U  08046B  # GLONASS-M (725, COSMOS 2443)     2008/09/25  --
#R22 33380U  08046C  # GLONASS-M (726, COSMOS 2444)     2008/09/25  --
#R03 33466U  08067A  # GLONASS-M (727, COSMOS 2447)     2008/12/25  --
#R08 33467U  08067B  # GLONASS-M (729, COSMOS 2449)     2008/12/25  --
#R02 33468U  08067C  # GLONASS-M (728, COSMOS 2448)     2008/12/25  --
R01  36111U  09070A  # GLONASS-M (730, COSMOS 2456)     2009/12/14  OK
R06  36112U  09070B  # GLONASS-M (733, COSMOS 2457)     2009/12/14  OK
#R05 36113U  09070C  # GLONASS-M (734, COSMOS 2458)     2010/??/??  --
R22  36400U  10007A  # GLONASS-M (731, COSMOS 2459)     2010/03/02  OK
#R24 36401U  10007B  # GLONASS-M (735, COSMOS 2461)     2010/03/02  --
